Real GDP growth (Annual percent change),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Eastern Europe ,-0.9,-2.6,0.5,4.5,2.9,1.6,3.1,2.4,1.4,0.1,-6.4,-10.2,-11.3,-6.8,-8.3,-1.6,-0.6,1.6,-1.3,3.7,7.2,4.5,4.3,6.1,7.2,5.7,7.5,7.7,4.8,-6.1,3.3,4.5,2.5,1.3,1.2,-0.1,1.4,3.2,3.8,3.0,-3.0,5.8,-0.6,0.6,2.0,2.0,2.0,2.0,2.0
Ecuador,4.9,3.9,1.2,-2.8,4.2,4.4,3.1,-6.0,10.5,0.3,3.0,5.1,3.6,2.0,4.3,2.3,1.7,4.3,3.3,-4.7,1.1,4.0,4.1,2.7,8.2,5.3,4.4,2.2,6.4,0.6,3.5,7.9,5.6,4.9,3.8,0.1,-1.2,2.4,1.3,0.0,-7.8,4.2,3.0,2.9,3.0,3.0,3.0,3.0,3.0
Egypt,3.4,2.2,7.3,8.9,8.0,7.4,4.8,4.3,4.0,3.0,2.3,2.1,0.3,2.9,4.2,4.5,4.9,5.9,7.5,6.1,5.4,3.5,3.2,3.2,4.1,4.5,6.8,7.1,7.2,4.7,5.1,1.8,2.2,3.3,3.3,4.4,4.5,2.4,5.3,5.5,3.5,3.3,6.6,3.7,4.0,4.0,4.0,4.0,4.0
El Salvador,-8.6,-5.7,-6.3,1.5,1.3,0.6,0.2,2.5,1.9,1.0,4.8,1.5,7.0,5.8,4.7,4.7,0.8,3.1,2.7,2.2,1.1,0.9,1.6,1.6,0.9,2.7,4.3,1.9,2.1,-2.1,2.1,3.8,2.8,2.2,1.7,2.4,2.5,2.3,2.4,2.4,-8.2,10.3,2.8,2.4,2.0,2.0,2.0,2.0,2.0
Emerging and Developing Asia,6.3,5.9,5.1,7.0,7.5,6.6,6.2,7.2,9.3,6.3,5.9,6.1,8.9,9.0,9.3,8.9,8.4,6.1,2.8,6.5,6.5,6.0,6.6,8.3,8.4,9.3,10.1,11.2,7.3,7.6,9.6,7.9,7.0,6.9,6.9,6.8,6.8,6.6,6.4,5.2,-0.5,7.5,4.4,5.3,5.0,5.0,5.0,5.0,5.0
Emerging and Developing Europe,-0.8,-0.5,1.4,4.6,4.1,2.4,4.4,5.0,1.6,0.1,-0.4,-5.7,-8.7,-4.4,-8.4,-0.3,0.3,2.7,-0.8,2.6,7.5,2.7,4.8,6.2,7.9,6.3,7.4,7.2,4.3,-5.7,4.4,6.1,3.2,2.9,1.9,1.0,1.8,4.2,3.6,2.5,-1.6,7.3,0.8,1.2,2.0,2.0,2.0,2.0,2.0
Emerging market and developing economies,3.3,1.9,1.5,1.8,4.1,3.5,4.3,4.0,4.5,3.5,4.1,4.5,2.5,3.0,3.1,4.0,5.1,4.7,2.3,3.5,5.7,3.6,4.4,6.9,7.9,7.1,7.9,8.4,5.7,2.8,7.4,6.4,5.4,5.0,4.7,4.4,4.4,4.7,4.7,3.6,-1.8,6.9,4.0,3.9,4.0,4.0,4.0,4.0,4.0
Equatorial Guinea,4.8,5.8,2.2,5.0,1.0,12.9,-2.3,4.4,2.7,-1.2,2.5,-1.2,33.0,10.5,16.8,26.5,52.7,148.0,24.8,26.4,110.5,60.0,19.6,14.5,30.4,8.2,6.5,15.3,17.8,1.3,-8.9,6.5,8.3,-4.1,0.4,-9.1,-8.8,-5.7,-6.2,-5.5,-4.2,-3.2,1.6,-1.8,-2.0,-2.0,-2.0,-2.0,-2.0
Eritrea,-0.69,-1.33,-0.33,-1.16,-0.41,1.57,0.86,0.18,2.35,1.08,0.36,-0.35,-0.92,12.9,20.9,2.3,9.1,7.9,2.0,0.2,-12.4,8.8,3.0,-2.7,1.5,2.6,-1.0,1.4,-19.4,12.2,10.9,25.7,1.9,-10.5,30.9,-20.6,7.4,-10.0,13.0,3.8,-0.5,2.9,2.6,2.8,3.0,3.0,3.0,3.0,3.0
Estonia,6.47,6.47,8.3,8.6,7.3,6.0,7.9,7.1,9.6,7.3,2.0,-6.9,-15.65,-7.46,-1.6,2.2,4.9,13.0,4.3,-0.4,10.1,6.0,6.8,7.6,6.8,9.5,9.8,7.6,-5.1,-14.6,2.4,7.3,3.2,1.5,3.0,1.9,3.2,5.8,3.8,3.7,-0.6,8.0,-1.3,-1.2,2.0,2.0,2.0,2.0,2.0
Eswatini,-3.8,6.9,1.4,-0.5,2.5,1.9,18.6,10.0,7.6,9.4,9.9,1.8,3.2,3.1,2.4,4.8,3.8,3.1,2.6,3.0,1.8,1.1,4.4,3.9,3.6,6.0,6.0,4.4,0.8,1.6,3.8,2.2,5.4,3.9,0.9,2.2,1.1,2.0,2.4,2.7,-1.6,7.9,0.5,2.8,2.0,2.0,2.0,2.0,2.0
Ethiopia,4.0,0.0,1.0,7.8,-2.3,-11.4,9.7,13.9,0.6,-0.5,2.6,-7.2,-8.9,13.4,3.5,6.1,13.5,2.8,-4.2,6.3,9.8,7.4,1.6,-2.1,11.7,12.6,11.5,11.8,11.2,10.0,10.6,11.4,8.7,9.9,10.3,10.4,8.0,10.2,7.7,9.0,6.1,6.3,6.4,6.1,7.0,7.0,7.0,7.0,7.0
Euro area,2.68,0.04,0.37,0.73,1.75,1.82,2.15,2.56,4.08,4.46,3.35,1.63,1.4,-0.8,2.5,2.9,1.6,2.6,3.0,2.9,3.8,2.2,0.9,0.7,2.3,1.7,3.2,3.0,0.4,-4.5,2.1,1.7,-0.9,-0.2,1.4,2.0,1.9,2.6,1.8,1.6,-6.1,5.4,3.5,0.8,2.0,2.0,2.0,2.0,2.0
Europe,1.4,0.0,0.7,2.0,2.5,2.5,2.7,2.9,3.9,3.4,2.4,1.0,-1.9,-1.8,0.2,1.6,1.2,2.7,2.1,3.1,4.6,2.7,1.8,2.3,3.5,2.9,4.3,4.2,1.6,-4.8,2.5,2.4,0.4,0.5,1.6,1.6,1.8,2.8,2.3,2.0,-5.5,5.7,2.4,0.6,2.0,2.0,2.0,2.0,2.0
European Union,1.8,0.1,0.6,1.7,2.5,2.2,2.7,2.6,3.8,3.6,2.7,1.4,1.0,-0.6,2.7,2.8,2.0,2.6,3.0,2.9,3.9,2.3,1.3,1.1,2.8,2.1,3.7,3.4,0.9,-4.2,2.1,2.0,-0.6,-0.1,1.7,2.5,2.0,3.0,2.3,2.0,-5.6,5.6,3.7,0.7,2.0,2.0,2.0,2.0,2.0
"Micronesia, Fed. States of",1.5,3.03,1.3,0.58,9.95,-1.15,2.68,-0.42,0.98,1.77,2.38,2.72,4.5,2.63,5.15,2.07,-3.1,-6.1,2.7,1.5,4.9,2.1,0.6,1.6,-3.1,2.1,-0.1,-1.9,-2.2,1.0,2.3,3.2,-1.9,-3.7,-2.3,4.6,0.9,2.7,0.2,1.2,-1.8,-3.2,-0.6,2.8,1.0,1.0,1.0,1.0,1.0
Fiji,-1.7,6.0,-1.1,-4.2,10.1,-3.8,6.6,-7.2,3.5,13.9,5.8,-2.7,6.1,2.6,5.1,2.6,4.8,-2.4,1.3,8.7,-1.7,1.9,3.2,0.8,5.4,-1.3,1.9,-0.9,1.0,-1.4,3.0,2.7,1.4,4.7,5.6,4.5,2.4,5.4,3.8,-0.6,-17.0,-5.1,14.5,7.0,4.0,4.0,4.0,4.0,4.0
Finland,5.7,1.3,3.1,3.1,3.2,3.5,2.7,3.6,5.2,5.1,0.2,-5.9,-3.3,-0.7,4.0,4.2,3.7,6.3,5.5,4.4,5.8,2.6,1.7,2.0,4.0,2.8,4.0,5.3,0.8,-8.1,3.2,2.5,-1.4,-0.9,-0.4,0.5,2.8,3.2,1.1,1.2,-2.4,3.0,2.1,0.0,1.0,1.0,1.0,1.0,1.0
France,1.8,1.1,2.5,1.3,1.6,1.7,2.3,2.6,4.6,4.5,2.9,1.1,1.5,-0.7,2.4,2.3,1.4,2.3,3.6,3.3,4.1,1.9,1.2,0.8,2.6,1.7,2.6,2.4,0.2,-2.8,1.8,2.2,0.4,0.7,1.0,1.1,1.0,2.4,1.8,1.9,-7.9,6.8,2.6,0.7,1.0,1.0,1.0,1.0,1.0
Gabon,0.0,-4.0,4.1,2.0,4.9,5.8,-2.1,-15.4,3.5,15.4,5.1,6.1,-3.1,3.9,3.7,5.0,3.6,5.7,3.5,-8.9,-1.9,2.1,0.2,1.7,1.1,-0.8,-1.9,6.3,1.7,-2.3,6.3,7.1,5.3,5.5,4.4,3.9,2.1,0.5,0.8,3.9,-1.9,1.5,2.8,3.0,3.0,3.0,3.0,3.0,3.0
Georgia,6.97,6.97,8.8,9.1,7.8,6.5,8.4,7.6,10.1,7.8,2.5,-21.1,-44.9,-29.3,-10.4,2.6,10.5,10.5,3.1,2.9,1.8,4.8,5.5,11.1,5.8,9.6,9.4,12.6,2.4,-3.7,6.2,7.4,6.4,3.6,4.4,3.0,2.9,4.8,4.8,5.0,-6.8,10.5,10.1,4.0,5.0,5.0,5.0,5.0,5.0
Germany,1.3,0.1,-0.8,1.6,2.8,2.2,2.4,1.5,3.7,3.9,5.7,5.0,1.9,-1.0,2.4,1.5,0.8,1.8,2.0,1.9,2.9,1.7,-0.2,-0.7,1.2,0.7,3.8,3.0,1.0,-5.7,4.2,3.9,0.4,0.4,2.2,1.5,2.2,2.7,1.0,1.1,-3.7,2.6,1.8,-0.1,2.0,2.0,2.0,2.0,2.0
Ghana,0.5,-3.8,-8.3,-6.2,9.4,6.4,6.2,6.7,6.5,4.5,3.6,4.8,4.5,4.8,3.5,4.2,4.8,5.8,5.0,4.5,3.6,3.8,4.6,5.1,5.4,6.2,5.8,4.1,9.0,5.7,7.8,13.9,8.4,7.2,2.9,2.1,3.4,8.1,6.2,6.5,0.5,5.4,3.2,1.6,5.0,5.0,5.0,5.0,5.0
Greece,0.7,-1.6,-1.1,-1.1,2.0,2.5,0.5,-2.3,4.3,3.8,0.0,3.1,0.7,-1.6,2.0,2.1,2.9,4.5,3.9,3.1,3.9,4.1,3.9,5.8,5.1,0.6,5.7,3.3,-0.3,-4.3,-5.5,-10.1,-7.1,-2.5,0.5,-0.2,-0.5,1.1,1.7,1.9,-9.0,8.4,5.9,2.6,1.0,1.0,1.0,1.0,1.0
Grenada,15.1,1.4,4.1,3.3,4.0,6.0,7.4,9.1,2.9,3.8,4.2,1.4,-0.8,-2.0,1.8,2.2,4.4,4.9,11.8,7.0,5.1,-2.0,3.4,9.5,-0.6,13.3,-4.0,6.1,0.9,-6.6,-0.5,0.8,-1.2,2.4,7.3,6.4,3.7,4.4,4.4,0.7,-13.8,4.7,6.0,3.7,3.0,3.0,3.0,3.0,3.0
Guatemala,3.7,0.6,-3.5,-2.5,0.5,-0.6,0.1,3.6,3.9,3.9,3.1,3.0,4.6,3.4,3.5,4.4,2.8,4.1,4.6,3.7,2.5,2.4,4.2,2.6,3.0,3.1,5.6,6.0,3.7,0.6,2.8,4.4,3.1,3.5,4.4,4.1,2.7,3.1,3.4,4.0,-1.8,8.0,4.0,3.4,4.0,4.0,4.0,4.0,4.0
Guinea,2.6,0.6,1.8,1.3,1.4,5.0,3.1,3.3,6.3,4.0,4.3,2.5,3.3,5.0,4.0,4.7,4.5,5.2,3.6,3.8,2.5,3.7,5.2,1.2,2.3,3.0,2.5,6.5,4.1,-1.5,4.2,5.6,5.9,3.9,3.7,3.8,10.8,10.3,6.4,5.6,4.9,4.3,4.3,5.6,5.0,5.0,5.0,5.0,5.0
Guinea-Bissau,3.03,-0.5,4.2,-3.4,5.5,4.3,-1.0,5.6,2.0,2.9,4.6,7.3,3.1,2.3,3.0,4.0,3.7,6.0,-22.4,16.8,1.1,4.8,3.7,-0.3,1.2,6.6,2.7,2.6,4.5,2.4,5.6,8.1,-1.7,3.3,1.0,6.1,5.3,4.8,3.8,4.5,1.5,6.4,3.5,4.5,4.0,4.0,4.0,4.0,4.0
Guyana,-2.1,0.6,-8.9,-11.5,2.1,0.4,-0.2,-0.1,-6.0,-4.9,-3.0,6.0,7.8,8.2,8.5,5.1,8.0,6.2,-1.7,3.0,-1.3,2.3,1.1,-0.7,1.6,-1.9,5.1,7.0,2.0,3.3,4.4,5.4,5.0,3.7,1.7,0.7,3.8,3.7,4.4,5.4,43.5,20.1,62.3,37.2,19.0,19.0,19.0,19.0,19.0
Haiti,7.3,1.1,-2.8,-1.5,0.2,0.8,0.3,-0.4,0.6,-1.1,-0.4,1.3,-2.3,-4.9,-11.6,9.9,4.1,2.7,2.2,2.7,0.9,-0.3,1.1,3.5,-1.3,3.1,1.8,4.7,2.7,5.9,-5.7,5.1,0.5,4.3,1.7,2.6,1.8,2.5,1.7,-1.7,-3.3,-1.8,-1.7,0.3,0.0,0.0,0.0,0.0,0.0
Honduras,0.6,-1.2,-2.1,0.9,6.3,5.6,5.3,6.6,1.7,2.7,2.8,-3.3,6.1,6.5,0.2,6.2,1.9,4.6,3.6,-0.7,7.3,2.7,3.8,4.5,6.2,6.1,6.6,6.2,4.2,-2.4,3.7,3.8,4.1,2.8,3.1,3.8,3.9,4.8,3.8,2.7,-9.0,12.5,4.0,3.7,4.0,4.0,4.0,4.0,4.0
Hong Kong SAR,10.3,9.2,2.9,6.0,10.0,0.7,11.1,13.4,8.5,2.3,3.8,5.7,6.2,6.2,6.0,2.4,4.3,5.1,-5.9,2.5,7.7,0.6,1.7,3.1,8.7,7.4,7.0,6.5,2.1,-2.5,6.8,4.8,1.7,3.1,2.8,2.4,2.2,3.8,2.8,-1.7,-6.5,6.4,-3.5,3.5,3.0,3.0,3.0,3.0,3.0
Hungary,0.2,2.9,2.8,0.7,2.7,-0.3,1.5,4.1,-0.1,0.7,-3.5,-11.9,-3.1,-0.6,2.9,2.5,0.1,3.1,3.9,3.1,4.5,4.1,4.7,4.1,5.0,4.3,3.9,0.3,1.0,-6.6,1.1,1.9,-1.3,1.8,4.2,3.7,2.2,4.3,5.4,4.9,-4.5,7.1,4.9,0.5,3.0,3.0,3.0,3.0,3.0
Iceland,5.7,4.3,2.2,-2.2,4.1,3.3,6.3,8.5,-0.1,0.3,1.2,-0.2,-3.4,1.3,3.6,0.1,4.6,5.8,7.4,4.0,5.0,4.0,0.6,2.1,7.8,6.1,6.3,8.5,2.2,-7.7,-2.8,1.8,1.1,4.6,1.7,4.4,6.3,4.2,4.9,1.8,-7.2,4.3,6.4,2.3,2.0,2.0,2.0,2.0,2.0
India,5.3,6.0,3.5,7.3,3.8,5.3,4.8,4.0,9.6,5.9,5.5,1.1,5.5,4.8,6.7,7.6,7.5,4.0,6.2,8.5,4.0,4.9,3.9,7.9,7.8,9.3,9.3,9.8,3.9,8.5,10.3,6.6,5.5,6.4,7.4,8.0,8.3,6.8,6.5,3.9,-5.8,9.1,6.8,5.9,6.0,6.0,6.0,6.0,6.0
Indonesia,9.9,7.6,2.2,4.2,7.6,3.9,7.2,6.6,7.0,9.1,9.0,8.9,6.5,8.0,7.5,8.2,7.8,4.7,-13.1,0.8,5.0,3.6,4.5,4.8,5.0,5.7,5.5,6.3,7.4,4.7,6.4,6.2,6.0,5.6,5.0,4.9,5.0,5.1,5.2,5.0,-2.1,3.7,5.3,5.0,5.0,5.0,5.0,5.0,5.0
Iran,-21.6,-5.7,23.2,11.1,-7.1,1.9,-9.8,-0.2,-6.1,6.1,13.6,12.7,3.3,-1.5,-1.7,2.4,6.4,1.4,2.1,2.0,5.8,2.4,8.1,8.6,4.3,3.2,5.0,8.2,0.3,1.0,5.8,2.6,-3.7,-1.5,5.0,-1.4,8.8,2.8,-1.8,-3.1,3.3,4.7,2.5,2.0,2.0,2.0,2.0,2.0,2.0
Iraq,4.16,6.78,1.19,7.78,11.11,5.95,4.11,6.82,4.17,3.95,6.37,8.19,18.15,8.47,8.77,8.79,7.69,10.46,9.1,24.8,-4.3,-6.6,-7.8,81.8,53.4,1.7,5.6,1.9,8.2,3.4,6.4,7.5,13.9,7.6,0.7,2.5,15.2,-3.4,4.7,5.8,-15.7,7.7,8.1,3.7,4.0,4.0,4.0,4.0,4.0
Ireland,2.9,2.5,1.5,-0.7,3.2,1.9,0.4,3.6,3.0,5.6,7.7,1.6,3.6,2.3,5.9,9.6,9.1,10.7,8.8,10.5,9.4,5.3,5.9,3.0,6.8,5.7,5.0,5.3,-4.5,-5.1,1.7,0.8,0.0,1.1,8.6,24.4,2.0,9.0,8.5,5.4,6.2,13.6,12.0,5.6,5.0,5.0,5.0,5.0,5.0
Israel,3.6,4.7,1.4,2.6,2.2,4.5,3.6,7.5,3.6,1.4,6.6,4.6,7.2,3.8,7.0,9.7,5.9,3.8,4.1,3.3,8.7,0.3,-0.1,1.4,4.8,4.1,5.6,6.0,3.3,0.9,5.7,5.6,2.6,4.4,3.9,2.5,4.5,4.3,4.1,4.2,-1.9,8.6,6.4,2.9,3.0,3.0,3.0,3.0,3.0
Italy,3.1,0.6,0.2,0.9,3.0,2.6,2.7,3.1,4.0,3.3,2.0,1.4,0.7,-0.8,2.1,2.7,1.3,1.8,1.8,1.6,3.8,2.0,0.3,0.1,1.4,0.8,1.8,1.5,-1.0,-5.3,1.7,0.7,-3.0,-1.8,0.0,0.8,1.3,1.7,0.9,0.5,-9.0,7.0,3.7,0.7,1.0,1.0,1.0,1.0,1.0
Jamaica,-4.0,4.4,3.1,4.2,0.9,-0.9,7.0,7.7,-4.0,4.7,4.9,0.8,2.8,2.2,1.9,2.5,0.2,-1.6,-1.2,1.0,0.8,1.3,0.7,3.7,1.3,0.9,2.9,1.4,-0.8,-3.4,-1.4,1.4,-0.5,0.2,0.6,0.9,1.5,0.7,1.8,1.0,-9.9,4.6,4.0,2.2,2.0,2.0,2.0,2.0,2.0
Japan,3.2,4.2,3.3,3.5,4.5,5.2,3.3,4.7,6.8,4.9,4.9,3.4,0.8,-0.5,0.9,2.6,3.1,1.0,-1.3,-0.3,2.8,0.4,0.0,1.5,2.2,1.8,1.4,1.5,-1.2,-5.7,4.1,0.0,1.4,2.0,0.3,1.6,0.8,1.7,0.6,-0.4,-4.3,2.1,1.1,1.3,1.0,1.0,1.0,1.0,1.0
Jordan,11.1,15.0,5.8,1.4,5.5,-1.1,5.9,2.7,2.9,-10.7,-1.6,-5.7,16.9,4.4,5.0,6.0,1.9,3.7,3.2,3.2,4.2,5.0,6.6,4.0,8.3,8.8,8.5,8.4,7.4,5.0,2.3,2.7,2.4,2.6,3.4,2.5,2.0,2.5,1.9,1.9,-1.6,2.2,2.7,2.7,3.0,3.0,3.0,3.0,3.0
Kazakhstan,6.57,6.57,8.4,8.7,7.4,6.1,8.0,7.2,9.7,7.4,2.1,-6.8,-15.55,-9.2,-12.6,-8.2,0.5,1.7,-1.9,2.7,9.8,13.5,9.8,9.3,9.6,9.7,10.7,8.9,3.3,1.2,7.3,7.5,5.0,5.9,4.3,1.0,0.9,3.9,4.1,4.5,-2.6,4.1,3.2,4.3,3.0,3.0,3.0,3.0,3.0
Kenya,5.6,4.1,5.1,1.6,1.6,4.1,7.0,5.8,6.1,4.6,4.1,1.3,-1.1,-0.1,2.5,4.3,4.5,0.4,3.0,2.2,0.3,4.0,0.5,2.9,4.6,5.7,5.9,6.9,0.2,3.3,8.1,5.1,4.6,3.8,5.0,5.0,4.2,3.8,5.7,5.1,-0.3,7.5,5.4,5.3,5.0,5.0,5.0,5.0,5.0
Kiribati,0.1,0.2,0.7,-2.7,2.4,-4.5,1.0,0.4,9.1,-3.1,-1.3,0.1,1.3,1.0,1.8,-0.1,1.1,2.0,6.9,-1.8,6.0,-1.4,4.0,2.0,-1.6,5.0,0.0,2.0,-2.1,0.8,-1.1,1.8,5.1,4.2,-1.1,9.9,-0.5,-0.1,5.3,-2.1,-1.4,7.9,1.2,2.5,2.0,2.0,2.0,2.0,2.0
Kosovo,6.19,4.66,4.99,5.63,6.6,6.04,6.92,6.88,6.82,7.05,4.95,0.82,0.44,0.53,2.98,5.85,7.47,7.54,7.14,6.41,8.27,4.6,-0.4,2.6,0.6,4.5,3.6,8.3,1.8,5.0,4.9,6.3,1.7,5.3,3.3,5.9,5.6,4.8,3.4,4.8,-5.3,10.7,2.7,3.5,4.0,4.0,4.0,4.0,4.0
Kuwait,-20.4,-18.9,-9.5,5.3,5.2,-4.3,8.6,8.1,-10.0,25.9,-26.2,-41.0,82.8,35.1,8.6,1.7,0.6,2.5,3.7,-1.8,4.7,0.2,3.0,17.3,10.8,10.1,7.5,6.0,2.5,-7.1,-2.4,9.6,6.6,1.2,0.5,0.6,2.9,-4.7,2.4,-0.6,-8.9,1.3,8.2,0.9,2.0,2.0,2.0,2.0,2.0
Kyrgyz Republic,-2.13,-2.13,-0.3,0.0,-1.3,-2.6,-0.7,-1.5,1.0,-1.3,-6.6,-15.5,-24.25,-13.0,-19.8,-5.4,7.1,9.9,2.1,3.7,5.4,5.3,0.0,7.0,7.0,-0.2,3.1,8.5,7.6,2.9,-0.5,6.0,-0.1,10.9,4.0,3.9,4.3,4.7,3.5,4.6,-8.6,3.7,7.0,3.5,4.0,4.0,4.0,4.0,4.0
Lao P.D.R.,10.0,15.3,4.7,3.0,6.4,9.1,4.8,-1.0,-2.1,9.9,6.7,4.0,7.0,5.9,8.2,7.0,6.9,6.9,4.3,4.0,6.4,4.8,6.8,6.2,7.2,6.9,9.0,7.9,7.8,7.4,8.0,8.0,7.8,8.0,7.6,7.3,7.0,6.9,6.3,4.7,-0.4,2.1,2.3,4.0,4.0,4.0,4.0,4.0,4.0
Latin America and the Caribbean,6.4,0.9,-0.5,-2.8,3.9,3.2,4.3,3.3,1.1,1.1,0.6,3.8,3.3,4.0,4.7,1.3,3.8,5.3,2.5,0.2,3.7,0.6,0.4,2.0,6.1,4.4,5.4,5.6,4.0,-1.9,6.1,4.6,3.0,2.9,1.4,0.4,-0.6,1.4,1.2,0.2,-6.8,7.0,4.0,1.6,2.0,2.0,2.0,2.0,2.0
Latvia,6.07,6.07,7.9,8.2,6.9,5.6,7.5,6.7,9.2,6.9,1.6,-7.3,-16.05,-11.4,2.2,-2.1,2.6,8.8,6.3,2.8,5.7,6.3,7.1,8.4,8.3,10.7,12.0,9.9,-3.2,-14.3,-4.5,2.6,7.0,2.0,1.9,3.9,2.4,3.3,4.0,2.6,-2.2,4.1,2.0,0.4,2.0,2.0,2.0,2.0,2.0
Lebanon,1.5,0.5,-36.8,22.7,44.5,24.3,-6.8,16.7,-28.2,-42.2,-13.4,38.2,4.5,7.0,8.0,6.5,4.0,10.2,3.9,-0.8,1.1,3.9,3.4,1.7,7.5,0.7,1.5,9.3,9.1,10.2,8.0,0.9,2.6,3.8,2.5,0.5,1.6,0.9,-1.9,-6.9,-25.9,6.94,8.75,5.65,6.0,6.0,6.0,6.0,6.0
Lesotho,-0.8,3.1,5.6,3.0,4.3,3.3,4.1,2.1,7.7,5.5,5.2,4.8,6.2,3.8,4.5,2.8,4.9,3.5,1.4,1.6,4.9,3.3,1.6,4.1,2.4,3.1,4.4,5.0,3.8,0.4,5.1,5.1,5.1,1.8,2.1,3.2,1.9,-2.7,-1.3,-2.0,-3.9,2.1,2.1,2.2,2.0,2.0,2.0,2.0,2.0
Liberia,6.71,6.07,7.07,6.24,6.99,8.97,8.26,7.58,9.75,8.48,7.76,7.05,6.48,6.7,6.5,9.25,9.69,11.24,8.39,8.46,9.29,2.8,4.4,-29.0,4.0,5.9,8.5,13.1,6.1,5.2,6.4,7.7,8.4,8.8,0.7,0.0,-1.6,2.5,1.2,-2.5,-3.0,5.0,4.8,4.3,5.0,5.0,5.0,5.0,5.0
Libya,0.6,-20.0,1.5,-4.7,-8.3,0.6,-11.4,-14.7,7.6,7.2,3.7,18.3,-4.5,-5.5,3.2,-15.4,1.8,-2.6,-0.7,-0.2,4.0,2.6,-3.7,16.1,5.8,10.6,0.3,6.2,-0.2,-4.4,5.0,-50.3,86.8,-18.0,-23.0,-0.8,-1.5,32.5,7.9,-11.2,-29.5,28.3,-12.8,17.5,6.0,6.0,6.0,6.0,6.0
