Real GDP growth (Annual percent change),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Lithuania,6.77,6.77,8.6,8.9,7.6,6.3,8.2,7.4,9.9,7.6,2.3,-6.6,-15.35,-7.16,-9.55,-1.04,5.2,8.3,7.5,-1.1,3.7,6.5,6.8,10.6,6.6,7.7,7.4,11.1,2.6,-14.8,1.7,6.0,3.8,3.6,3.5,2.0,2.5,4.3,4.0,4.6,0.0,6.0,1.9,-0.3,2.0,2.0,2.0,2.0,2.0
Luxembourg,3.2,0.8,1.0,1.9,4.7,5.6,10.0,4.0,8.5,9.8,5.3,8.6,1.8,4.2,3.8,1.4,1.5,5.9,6.5,8.4,8.4,3.1,3.2,2.6,4.2,2.5,6.0,8.1,-0.3,-3.2,3.8,1.0,1.6,3.2,2.6,2.3,5.0,1.3,1.2,2.3,-0.8,5.1,1.5,1.1,2.0,2.0,2.0,2.0,2.0
Macao SAR,11.94,11.58,10.34,12.02,14.31,11.82,12.55,13.95,13.85,14.59,12.32,10.52,14.61,12.02,13.55,12.97,12.72,14.5,12.71,12.92,14.37,12.01,8.9,11.6,26.6,8.1,13.4,14.5,3.4,1.3,25.1,21.6,9.2,10.8,-2.0,-21.5,-0.7,10.0,6.5,-2.5,-54.2,19.3,-26.8,58.9,7.0,7.0,7.0,7.0,7.0
Madagascar,0.8,-9.8,-1.9,0.9,1.8,1.2,2.0,1.2,3.4,4.1,3.1,-6.3,1.2,2.1,0.0,1.7,2.2,3.7,3.9,4.7,4.5,6.0,-12.4,9.8,5.3,4.8,5.4,5.7,6.7,-4.0,0.6,1.6,3.0,2.3,3.3,3.1,4.0,3.9,3.2,4.4,-7.1,5.7,4.2,4.2,4.0,4.0,4.0,4.0,4.0
Major advanced economies (G7),0.9,2.0,-0.1,3.3,5.0,3.8,3.0,3.5,4.7,3.8,2.8,1.2,2.1,1.1,3.0,2.5,2.7,3.2,2.9,3.2,3.8,1.2,1.1,1.9,2.9,2.5,2.5,2.1,0.0,-3.7,2.9,1.6,1.4,1.4,1.9,2.1,1.5,2.2,2.1,1.6,-4.5,5.3,2.3,1.1,2.0,2.0,2.0,2.0,2.0
Malawi,0.4,-5.2,2.5,3.7,5.4,4.6,-0.2,1.6,3.2,1.3,5.7,8.7,-7.3,9.7,-10.3,13.8,10.0,6.6,1.1,3.5,0.8,-4.1,1.8,5.7,5.4,3.3,4.7,9.6,7.6,8.3,6.9,4.9,1.9,5.2,5.7,3.0,2.3,4.0,4.4,5.4,0.9,4.6,0.8,2.4,4.0,4.0,4.0,4.0,4.0
Malaysia,7.4,6.9,5.9,6.3,7.8,-0.9,1.2,5.4,9.9,9.1,9.0,9.5,8.9,9.9,9.2,9.8,10.0,7.3,-7.4,6.1,8.7,0.5,5.4,5.8,6.8,5.0,5.6,6.3,4.8,-1.5,7.5,5.3,5.5,4.7,6.0,5.0,4.4,5.8,4.8,4.4,-5.5,3.1,8.7,4.5,4.0,4.0,4.0,4.0,4.0
Maldives,18.8,7.9,7.5,4.4,17.4,13.8,8.6,8.9,8.7,9.3,-4.0,6.9,6.5,5.4,7.5,7.4,9.1,10.4,9.8,7.2,4.8,3.5,6.1,25.4,6.0,-13.1,26.1,7.7,9.5,-7.2,7.3,8.6,2.5,7.3,7.3,2.9,6.3,7.2,8.1,6.9,-33.4,41.7,12.3,7.2,7.0,7.0,7.0,7.0,7.0
Mali,3.3,-4.5,-11.6,3.2,2.4,3.2,6.1,2.5,0.1,10.7,9.3,7.7,-1.6,3.6,3.8,3.0,7.3,4.8,2.9,6.2,-0.1,15.4,3.1,9.1,1.6,6.5,4.7,3.5,4.8,4.7,5.4,3.2,-0.8,2.3,7.1,6.2,5.9,5.3,4.7,4.8,-1.2,3.1,3.7,5.0,5.0,5.0,5.0,5.0,5.0
Malta,7.0,2.7,0.1,2.6,0.8,2.4,3.8,5.7,6.8,7.1,4.7,5.9,8.1,3.9,4.6,6.9,4.0,4.8,3.4,3.8,-1.0,-1.2,2.6,4.1,0.1,3.4,2.5,4.8,3.8,-1.1,5.5,0.5,4.1,5.5,7.6,9.6,3.4,10.9,6.2,7.0,-8.6,11.8,6.9,3.5,4.0,4.0,4.0,4.0,4.0
Marshall Islands,4.0,5.53,3.8,3.08,12.45,1.35,5.18,2.08,3.48,4.27,4.88,5.22,7.0,5.13,7.65,4.57,3.46,0.21,-0.7,-1.1,1.5,6.7,3.7,-1.6,-0.3,2.3,-0.2,3.4,-6.4,2.6,6.8,-0.6,-2.2,3.9,-1.0,1.6,1.4,3.3,3.1,6.8,-1.6,1.7,1.3,3.0,2.0,2.0,2.0,2.0,2.0
Mauritania,5.86,5.22,6.22,5.39,6.14,8.12,7.41,6.73,8.9,7.63,6.91,0.0,1.8,5.9,-3.1,9.8,5.8,-4.0,2.8,3.7,-3.9,-0.8,1.4,6.9,4.7,8.6,18.3,-2.0,-0.3,0.1,2.6,4.2,4.5,4.2,4.3,5.4,1.3,6.3,4.8,5.4,-0.9,2.4,5.0,4.4,4.0,4.0,4.0,4.0,4.0
Mauritius,-10.1,5.9,5.5,0.4,4.8,6.9,9.7,10.2,6.8,4.5,7.2,4.4,6.5,5.1,4.1,4.3,5.6,5.7,6.1,2.6,8.2,3.2,1.6,6.0,4.3,1.5,4.5,5.7,5.4,3.3,4.4,4.1,3.5,3.4,3.8,3.7,3.9,3.9,4.0,2.9,-14.6,3.5,8.3,4.6,4.0,4.0,4.0,4.0,4.0
Mexico,9.5,8.5,-0.5,-3.5,3.4,2.2,-3.1,1.7,1.3,4.1,5.2,4.2,3.5,2.7,4.9,-6.3,6.8,6.8,5.2,2.8,4.9,-0.4,0.0,1.4,3.9,2.3,4.5,2.3,1.1,-5.3,5.1,3.7,3.6,1.4,2.8,3.3,2.6,2.1,2.2,-0.2,-8.0,4.7,3.1,1.8,2.0,2.0,2.0,2.0,2.0
Middle East (Region),-3.5,0.4,-2.4,-1.1,-1.4,-1.6,1.9,-0.5,2.8,4.3,12.1,10.5,7.4,1.6,1.9,2.7,4.2,3.2,2.9,1.1,6.1,0.8,2.3,12.4,10.5,4.7,5.8,5.2,4.6,0.3,5.2,6.7,3.8,2.9,3.7,2.5,5.4,0.6,1.5,0.4,-3.6,4.3,6.2,2.7,3.0,3.0,3.0,3.0,3.0
Middle East and Central Asia,-1.9,-0.2,0.4,0.7,0.3,1.2,2.0,-0.1,3.3,4.3,8.7,8.5,4.9,0.2,1.4,1.7,4.5,3.0,3.6,2.3,5.5,2.5,3.1,10.2,8.8,5.9,6.2,5.9,4.9,1.2,5.0,4.7,5.1,3.0,3.4,3.0,4.3,2.2,2.8,1.6,-2.7,4.6,5.3,2.9,3.0,3.0,3.0,3.0,3.0
Moldova,-1.98,-1.98,-0.15,0.15,-1.15,-2.45,-0.55,-1.35,1.15,-1.15,-6.45,-17.5,-29.7,-1.2,-30.9,-1.4,-5.9,1.6,-6.5,-3.4,2.1,6.1,7.8,6.6,7.4,7.5,4.8,3.0,7.8,-6.0,7.1,5.8,-0.6,9.0,5.0,-0.3,4.4,4.2,4.1,3.6,-8.3,13.9,-5.6,2.0,2.0,2.0,2.0,2.0,2.0
Mongolia,6.4,8.4,8.3,5.8,5.9,5.7,9.4,3.5,5.1,4.2,-2.5,-9.2,-9.3,-3.2,2.1,6.4,2.2,3.9,3.3,3.1,1.1,4.6,5.3,7.4,9.4,6.5,8.2,8.8,7.8,-2.1,7.3,17.3,12.3,11.6,7.9,2.4,1.5,5.6,7.7,5.6,-4.6,1.6,4.8,4.5,5.0,5.0,5.0,5.0,5.0
Montenegro,5.59,4.07,4.4,5.04,6.0,5.45,6.32,6.28,6.22,6.45,4.35,0.23,-0.16,-0.07,2.38,5.25,6.87,6.94,6.54,5.82,7.68,1.1,1.9,2.5,4.4,4.2,8.6,6.8,7.2,-5.8,2.7,3.2,-2.7,3.5,1.8,3.4,2.9,4.7,5.1,4.1,-15.3,13.0,6.4,3.2,3.0,3.0,3.0,3.0,3.0
Morocco,3.8,-2.8,9.6,-0.6,4.3,6.3,8.3,-2.5,10.4,2.4,4.0,7.2,-2.1,-0.7,10.6,-5.4,12.4,-1.6,7.2,1.1,1.9,7.3,3.1,6.0,4.8,3.3,7.6,3.5,5.9,4.2,3.8,5.2,3.0,4.5,2.7,4.3,0.5,5.1,3.1,2.9,-7.2,7.9,1.1,3.0,3.0,3.0,3.0,3.0,3.0
Mozambique,4.2,5.0,-6.9,-15.7,-6.5,1.0,-2.3,14.7,8.2,6.5,1.0,6.6,-6.1,10.6,6.5,2.3,11.2,11.3,9.9,11.7,1.2,12.1,9.3,6.9,7.9,6.6,9.7,7.7,7.3,6.3,6.5,7.4,7.3,7.0,7.4,6.7,3.8,3.7,3.4,2.3,-1.2,2.3,4.1,5.0,5.0,5.0,5.0,5.0,5.0
Myanmar,14.13,15.86,13.2,13.14,13.26,9.96,10.91,12.91,14.79,15.31,14.16,13.86,14.48,14.41,15.51,15.11,14.78,12.38,6.06,8.4,12.4,12.5,9.9,13.2,15.3,13.6,13.3,12.5,7.6,4.4,5.2,5.5,6.5,7.9,8.2,7.5,6.4,5.8,6.4,6.8,3.2,-17.9,2.0,2.6,3.0,3.0,3.0,3.0,3.0
Namibia,-2.63,-3.27,-2.27,-3.11,-2.35,-0.37,-1.08,-1.77,0.41,-0.87,-1.58,5.3,9.3,-1.6,3.0,4.1,3.2,4.2,3.3,3.4,3.5,2.4,6.7,3.5,6.6,4.7,3.9,3.6,2.6,0.3,6.0,5.1,5.1,5.6,6.1,4.3,0.0,-1.0,1.1,-0.8,-8.0,2.7,3.8,2.8,3.0,3.0,3.0,3.0,3.0
Nauru,4.8,6.33,4.6,3.88,13.25,2.15,5.98,2.88,4.28,5.07,5.68,6.02,7.8,5.93,8.45,5.37,4.26,1.01,4.81,3.76,2.8,3.0,4.47,3.84,3.55,-8.0,-8.3,-6.8,63.3,-6.0,-0.3,9.3,30.6,5.0,14.7,-5.7,8.0,-5.9,7.2,9.1,4.1,2.7,3.0,1.0,2.0,2.0,2.0,2.0,2.0
Nepal,-2.3,8.3,3.8,-3.0,9.7,6.1,4.6,1.7,7.7,4.3,4.6,6.4,4.1,3.8,8.2,3.5,5.3,5.3,2.9,4.5,6.1,5.6,0.1,3.9,4.7,3.5,3.4,3.4,6.1,4.5,4.8,3.4,4.7,3.5,6.0,4.0,0.4,9.0,7.6,6.7,-2.4,4.2,5.8,4.4,5.0,5.0,5.0,5.0,5.0
Netherlands,2.16,-0.5,-1.3,1.8,3.1,2.7,3.1,1.9,4.6,4.5,4.2,2.5,1.6,1.3,3.0,2.8,3.5,4.3,4.7,5.0,4.2,2.3,0.2,0.2,2.0,2.0,3.5,3.8,2.2,-3.7,1.3,1.5,-1.0,-0.1,1.4,2.0,2.2,2.9,2.4,2.0,-3.9,4.9,4.5,1.0,1.0,1.0,1.0,1.0,1.0
New Zealand,1.0,3.0,2.9,-0.1,6.9,1.2,1.8,2.4,0.6,0.4,0.0,-1.3,0.7,5.2,5.6,4.9,4.1,2.5,0.4,4.5,4.2,2.5,4.7,4.4,4.8,3.2,2.8,3.5,-0.3,-1.1,1.8,1.8,2.5,2.3,3.8,3.7,3.9,3.5,3.5,3.1,-1.5,6.1,2.4,1.1,2.0,2.0,2.0,2.0,2.0
Nicaragua,4.6,5.4,-0.8,4.6,-1.6,-4.1,-1.0,-0.7,-12.4,-1.7,-0.1,-0.2,0.4,-0.4,5.0,5.9,6.3,4.0,3.7,7.0,4.1,3.0,0.8,2.5,5.3,4.3,3.8,5.1,3.4,-3.3,4.4,6.3,6.5,4.9,4.8,4.8,4.6,4.6,-3.4,-3.8,-1.8,10.3,4.0,3.0,4.0,4.0,4.0,4.0,4.0
Niger,4.9,-0.2,2.2,-3.9,-16.8,7.7,6.4,0.1,6.9,1.0,-1.3,-0.4,2.0,0.3,1.9,2.5,0.1,1.5,10.0,-0.2,-1.2,7.3,4.9,2.2,0.4,7.3,5.9,3.1,7.7,2.0,8.6,2.4,10.5,5.3,6.6,4.4,5.7,5.0,7.0,6.1,3.5,1.4,11.1,6.1,7.0,7.0,7.0,7.0,7.0
Nigeria,6.21,5.57,6.57,5.74,6.49,8.47,7.76,7.08,9.25,7.98,7.26,-0.6,2.2,1.6,0.3,1.9,4.1,2.9,2.5,0.5,5.5,6.7,14.6,9.5,10.4,7.0,6.7,7.3,7.2,8.4,11.3,4.9,4.3,5.4,6.3,2.7,-1.6,0.8,1.9,2.2,-1.8,3.6,3.3,3.2,3.0,3.0,3.0,3.0,3.0
North Africa,0.3,-3.6,5.5,3.6,3.5,5.3,0.5,-0.7,3.3,4.1,2.5,4.8,0.0,-0.3,3.4,0.3,5.2,2.6,5.7,4.0,4.3,3.8,3.0,6.3,4.6,5.4,4.6,5.5,4.7,2.8,4.5,-0.6,9.9,1.8,1.7,3.7,3.1,4.6,4.2,2.9,-1.8,5.4,4.1,4.0,4.0,4.0,4.0,4.0,4.0
North America,1.0,3.3,-1.8,3.5,6.7,4.0,2.7,3.3,3.9,3.6,2.1,0.2,3.3,2.8,4.2,1.8,3.9,4.7,4.5,4.6,4.2,0.9,1.6,2.6,3.8,3.3,2.9,2.0,0.3,-2.9,3.0,1.9,2.4,1.8,2.4,2.6,1.7,2.3,2.8,2.0,-3.4,5.7,2.3,1.6,2.0,2.0,2.0,2.0,2.0
North Macedonia ,-0.16,-1.68,-1.36,-0.71,0.25,-0.3,0.57,0.53,0.47,0.7,-1.4,-5.53,-5.91,-7.5,-1.8,-1.1,1.2,1.4,3.4,4.3,4.5,-3.1,1.5,2.2,4.7,4.7,5.1,6.5,5.5,-0.4,3.4,2.3,-0.5,2.9,3.6,3.9,2.8,1.1,2.9,3.9,-4.7,3.9,2.2,1.4,2.0,2.0,2.0,2.0,2.0
Norway,4.5,1.6,0.2,4.0,6.1,5.6,4.0,1.8,-0.3,1.0,1.9,3.1,3.6,2.8,5.1,4.2,5.0,5.3,2.7,2.1,3.3,2.1,1.4,0.9,4.0,2.7,2.5,2.9,0.5,-1.9,0.8,1.1,2.7,1.0,2.0,1.9,1.2,2.5,0.8,1.1,-1.3,3.9,3.3,2.1,2.0,2.0,2.0,2.0,2.0
Oman,6.1,17.1,11.5,15.9,13.9,14.5,2.1,-4.0,5.2,3.0,8.4,6.0,8.5,6.1,3.8,4.8,2.9,6.2,2.7,0.3,6.2,4.6,-0.8,-2.2,2.0,2.8,4.7,5.0,9.0,6.0,2.5,2.9,8.9,5.2,1.3,5.0,5.0,0.3,1.3,-1.1,-3.2,2.9,4.3,1.7,3.0,3.0,3.0,3.0,3.0
Other advanced economies,3.8,4.2,2.2,4.0,6.6,4.3,5.5,6.5,5.5,4.6,4.3,3.7,4.0,4.2,6.2,5.3,4.9,4.7,1.0,5.5,5.9,2.2,3.9,2.8,5.3,4.2,4.8,5.2,1.8,-0.9,6.0,3.4,2.2,2.5,3.0,2.3,2.6,3.1,2.8,2.0,-1.6,5.4,2.6,1.8,2.0,2.0,2.0,2.0,2.0
Pacific Islands ,-1.9,2.5,0.3,1.0,3.9,1.1,5.6,-0.1,2.8,4.0,0.5,5.0,10.6,9.1,8.6,-0.6,5.7,-4.4,3.4,3.7,-2.1,0.4,1.0,6.1,2.3,2.7,2.4,4.8,0.6,4.0,7.7,1.9,3.4,3.9,10.5,5.7,4.8,3.9,0.9,3.0,-6.2,-1.2,6.2,4.4,4.0,4.0,4.0,4.0,4.0
Pakistan,6.9,6.2,7.6,6.8,4.0,8.7,6.4,5.8,6.4,4.8,4.6,5.1,7.6,2.1,4.4,5.1,6.6,1.7,3.5,4.2,3.9,2.0,3.1,4.7,7.5,9.0,5.8,5.5,5.0,0.4,2.6,3.6,3.8,3.7,4.1,4.1,4.6,4.6,6.1,3.1,-0.9,5.7,6.0,0.5,4.0,4.0,4.0,4.0,4.0
Palau,1.55,3.08,1.35,0.63,10.0,-1.1,2.73,-0.37,1.03,1.82,2.43,2.77,4.55,2.68,5.2,2.12,1.01,-2.24,1.56,0.51,-0.45,6.5,5.1,-3.4,4.1,3.7,0.0,0.9,-5.3,-6.8,-1.7,4.1,1.9,-1.6,4.4,9.6,3.7,-3.4,0.0,0.4,-7.5,-12.1,-2.9,8.7,4.0,4.0,4.0,4.0,4.0
Panama,4.5,9.2,5.3,-4.5,2.7,4.9,3.6,-1.8,-13.4,1.6,8.1,9.4,8.2,5.5,2.8,1.8,7.4,6.5,7.3,3.9,2.7,0.6,2.2,4.2,7.5,7.2,8.5,12.1,9.9,1.2,5.8,11.3,9.8,6.9,5.1,5.7,5.0,5.6,3.7,3.0,-17.9,15.3,10.0,5.0,5.0,5.0,5.0,5.0,5.0
Papua New Guinea,-2.3,1.1,0.8,3.4,-1.0,3.6,5.7,2.8,2.9,-1.4,-3.1,9.6,13.8,13.3,10.5,-3.4,6.6,-6.3,4.7,1.9,-2.5,-0.1,-0.2,9.0,0.6,4.3,2.5,7.8,-0.3,6.8,10.1,1.1,4.7,3.8,13.5,6.6,5.5,3.5,-0.3,4.5,-3.2,0.1,4.5,3.7,3.0,3.0,3.0,3.0,3.0
Paraguay,11.7,9.2,-1.4,-3.0,2.8,3.9,0.3,4.1,5.9,5.8,4.1,3.5,1.7,4.9,5.3,6.8,1.6,4.2,0.1,-1.4,-2.3,-0.8,0.0,4.3,4.1,2.1,4.8,5.4,6.5,-0.3,11.1,4.3,-0.7,8.3,5.3,3.0,4.3,4.8,3.2,-0.4,-0.8,4.0,0.2,4.5,3.0,3.0,3.0,3.0,3.0
Peru,7.7,5.5,-0.3,-9.3,3.8,2.1,12.1,7.7,-9.4,-13.4,-5.1,2.2,-0.5,5.2,12.3,7.4,2.8,6.5,-0.4,1.5,2.7,0.6,5.5,4.2,5.0,6.3,7.5,8.5,9.1,1.1,8.3,6.3,6.1,5.9,2.4,3.3,4.0,2.5,4.0,2.2,-11.0,13.6,2.7,2.4,3.0,3.0,3.0,3.0,3.0
Philippines,5.1,3.4,3.6,1.9,-7.3,-7.3,3.4,4.3,6.8,6.2,3.0,-0.4,0.4,2.2,4.4,4.6,5.9,5.2,-0.5,3.3,4.4,3.0,3.7,5.1,6.6,4.9,5.3,6.5,4.3,1.4,7.3,3.9,6.9,6.8,6.3,6.3,7.1,6.9,6.3,6.1,-9.5,5.7,7.6,6.0,6.0,6.0,6.0,6.0,6.0
Poland,-6.0,-10.0,-4.8,5.6,-0.4,3.9,3.5,2.3,3.3,3.8,-7.2,-7.0,2.0,4.3,5.2,6.7,6.2,7.1,5.0,4.5,4.3,1.2,1.4,3.5,5.0,3.5,6.1,7.1,4.2,2.8,2.9,5.0,1.5,0.9,3.8,4.4,3.0,5.1,5.9,4.4,-2.0,6.8,4.9,0.3,3.0,3.0,3.0,3.0,3.0
Portugal,6.7,3.5,2.2,1.0,-1.0,1.6,3.3,7.6,5.3,6.6,7.9,3.4,3.1,-0.7,1.5,2.3,3.5,4.4,4.8,3.9,3.8,1.9,0.8,-0.9,1.8,0.8,1.6,2.5,0.3,-3.1,1.7,-1.7,-4.1,-0.9,0.8,1.8,2.0,3.5,2.8,2.7,-8.3,5.5,6.7,1.0,2.0,2.0,2.0,2.0,2.0
Puerto Rico,1.93,1.1,-3.0,0.5,7.3,2.1,8.2,4.9,6.5,4.9,3.8,2.3,4.6,4.6,4.2,4.5,2.3,4.9,6.5,4.4,3.3,9.5,2.2,2.3,2.0,-2.0,-1.4,-1.2,-1.8,-2.0,-0.4,-0.4,0.0,-0.3,-1.2,-1.0,-1.3,-2.9,-4.4,1.7,-4.4,0.2,4.8,0.4,-0.0,-0.0,-0.0,-0.0,-0.0
Qatar,-1.0,-3.9,-8.2,-5.3,16.0,-13.0,3.7,0.9,4.7,5.3,-14.6,-1.5,10.4,-0.9,1.9,0.4,4.2,27.7,10.3,3.8,6.9,4.5,6.9,4.0,19.2,7.8,28.1,18.2,17.5,13.1,17.7,11.3,4.7,5.6,5.3,4.8,3.1,-1.5,1.2,0.7,-3.6,1.6,4.2,2.4,3.0,3.0,3.0,3.0,3.0
"Congo, Republic of ",12.7,2.6,2.4,2.4,2.4,2.4,2.3,2.3,21.9,21.3,1.0,3.4,4.2,1.3,-1.4,4.0,3.5,-1.0,8.9,-3.7,11.8,-4.8,1.0,0.5,-0.2,9.2,8.0,-6.6,6.3,11.6,9.9,2.2,9.9,-0.7,6.7,-3.6,-10.8,-4.4,-4.8,1.0,-6.2,1.5,2.8,4.1,4.0,4.0,4.0,4.0,4.0
"Korea, Republic of",-1.6,7.2,8.3,13.4,10.6,7.8,11.3,12.7,12.0,7.1,9.9,10.8,6.2,6.9,9.3,9.6,7.9,6.2,-5.1,11.5,9.1,4.9,7.7,3.1,5.2,4.3,5.3,5.8,3.0,0.8,6.8,3.7,2.4,3.2,3.2,2.8,2.9,3.2,2.9,2.2,-0.7,4.1,2.6,1.5,2.0,2.0,2.0,2.0,2.0
"South Sudan, Republic of",3.06,2.42,3.42,2.59,3.34,5.32,4.61,3.93,6.1,4.83,4.11,3.4,2.83,3.05,2.85,5.6,6.04,7.59,4.74,4.81,5.64,6.64,5.33,4.97,6.42,6.44,6.33,6.51,5.59,4.09,7.03,5.1,-50.3,27.3,1.6,-0.2,-13.3,-5.8,-2.1,0.9,-6.5,5.3,6.6,5.6,4.0,4.0,4.0,4.0,4.0
"Türkiye, Republic of",-0.8,4.4,3.4,4.8,6.8,4.3,6.9,10.0,2.1,0.3,9.3,0.9,6.0,8.0,-5.5,7.2,7.0,7.5,3.1,-3.3,6.9,-5.8,6.4,5.8,9.8,9.0,6.9,5.0,0.8,-4.8,8.4,11.2,4.8,8.5,4.9,6.1,3.3,7.5,3.0,0.8,1.9,11.4,5.6,2.7,3.0,3.0,3.0,3.0,3.0
Romania,3.3,0.1,3.9,6.0,6.0,-0.1,2.4,0.8,-0.5,-5.8,-5.6,-12.9,-8.8,1.5,3.9,7.1,3.9,-6.1,-4.8,-1.2,2.9,5.1,5.7,2.3,10.3,4.7,8.0,7.2,9.4,-5.6,-3.9,4.5,1.9,0.2,4.1,3.2,2.9,8.2,6.0,3.8,-3.7,5.9,4.8,2.4,3.0,3.0,3.0,3.0,3.0
Russian Federation,-0.03,-0.03,1.8,2.1,0.8,-0.5,1.4,0.6,3.1,0.8,-4.5,-5.0,-14.5,-8.7,-12.7,-4.1,-3.6,1.4,-5.3,6.4,10.0,5.1,4.7,7.3,7.2,6.4,8.2,8.5,5.2,-7.8,4.5,5.1,4.0,1.8,0.7,-2.0,0.2,1.8,2.8,2.2,-2.7,5.6,-2.1,0.7,1.0,1.0,1.0,1.0,1.0
Rwanda,-3.6,2.5,-2.5,6.0,13.0,4.4,5.5,-0.3,0.3,-5.7,0.4,-4.3,6.6,-10.4,-41.9,24.5,11.6,14.9,8.3,3.3,8.4,8.5,13.2,2.2,7.4,9.4,9.2,7.7,11.2,6.2,7.3,8.0,8.6,4.7,6.2,8.9,6.0,4.0,8.6,9.5,-3.4,10.9,6.8,6.2,6.0,6.0,6.0,6.0,6.0
Saint Kitts and Nevis,1.3,2.7,6.1,-2.1,9.7,6.4,8.8,8.3,10.4,6.0,5.5,2.3,3.1,5.4,5.4,3.5,5.9,7.3,1.0,3.9,9.7,5.3,1.4,-3.9,4.0,9.7,3.2,0.6,11.2,-3.4,0.0,1.6,-0.5,5.7,7.6,0.7,3.9,0.9,1.1,4.0,-14.5,-0.9,9.0,4.5,3.0,3.0,3.0,3.0,3.0
Saint Lucia,-0.5,5.1,2.1,4.1,8.0,12.6,14.4,3.9,13.9,9.0,9.9,0.4,8.0,0.6,1.6,1.7,2.9,-0.7,6.3,2.7,0.0,-3.4,0.4,4.3,7.3,-0.4,6.2,1.9,4.9,-1.9,0.5,4.8,-0.4,-2.2,1.3,-0.2,3.8,3.4,2.9,-0.7,-24.4,12.2,14.9,3.0,2.0,2.0,2.0,2.0,2.0
