Real GDP growth (Annual percent change),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Saint Vincent and the Grenadines,2.9,3.9,2.6,3.2,5.3,4.3,5.4,0.6,13.2,3.3,4.8,2.2,7.1,3.6,-1.2,6.8,1.1,3.7,4.5,2.1,1.8,1.6,4.9,6.1,3.7,2.3,6.5,3.1,0.4,-1.2,-4.3,-0.6,1.1,2.5,1.1,2.8,4.1,1.5,3.2,0.7,-3.7,0.8,5.3,6.0,3.0,3.0,3.0,3.0,3.0
Samoa,-6.1,-9.1,-1.0,0.5,2.0,5.8,4.8,0.5,2.9,5.8,-6.4,-2.4,4.1,1.7,6.4,6.6,7.3,0.8,1.1,-0.6,5.1,7.4,5.7,5.2,3.1,6.6,2.1,0.5,3.6,-0.5,2.5,3.8,-3.7,0.1,0.7,3.9,8.0,1.4,-0.6,4.5,-3.1,-7.1,-6.0,5.0,3.0,3.0,3.0,3.0,3.0
San Marino,0.44,-1.08,-0.76,-0.11,0.85,0.3,1.17,1.13,1.07,1.3,-0.8,-4.93,-5.31,-5.22,-2.77,0.1,1.72,1.79,7.5,9.0,2.2,5.5,0.3,3.9,4.6,2.4,3.8,7.1,-0.4,-10.1,-5.8,-8.5,-7.2,-0.8,-0.6,2.7,2.3,0.3,1.5,2.1,-6.7,8.3,4.6,1.2,1.0,1.0,1.0,1.0,1.0
Saudi Arabia,5.7,1.9,-20.7,-16.1,-4.7,-9.8,17.0,-6.6,13.1,-0.5,15.2,15.0,4.0,-1.4,0.6,0.2,2.6,1.1,2.9,-3.8,5.6,-1.2,-2.8,11.2,8.0,5.6,2.8,1.8,6.2,-2.1,5.0,11.0,5.4,2.9,4.0,4.7,2.4,-0.1,2.8,0.8,-4.3,3.9,8.7,3.1,3.0,3.0,3.0,3.0,3.0
Senegal,-0.8,5.1,7.8,-5.3,3.7,3.3,3.1,6.1,-0.6,4.0,-0.7,2.6,1.2,1.3,-0.2,6.1,1.9,2.7,6.0,6.0,3.9,4.3,0.1,5.6,4.6,4.3,2.3,2.8,3.7,2.8,3.4,1.3,4.0,2.4,6.2,6.4,6.4,7.4,6.2,4.6,1.3,6.1,4.7,8.3,6.0,6.0,6.0,6.0,6.0
Serbia,7.04,5.52,5.84,6.49,7.45,6.9,7.77,7.73,7.67,7.9,5.8,1.67,1.29,1.38,3.83,6.7,8.32,8.39,2.4,-12.1,7.8,5.0,7.1,4.4,9.0,10.2,5.1,6.4,5.7,-2.7,0.7,2.0,-0.7,2.9,-1.6,1.8,3.3,2.1,4.5,4.3,-0.9,7.5,2.3,2.0,3.0,3.0,3.0,3.0,3.0
Seychelles,-2.3,-3.9,-2.1,-0.6,4.3,10.3,0.8,4.9,5.3,10.3,7.5,2.8,7.2,7.3,-2.4,0.5,10.0,12.2,2.5,1.9,4.3,-2.3,1.2,-5.9,-2.9,9.0,9.4,10.4,-2.1,-1.1,6.3,5.7,3.8,6.4,4.7,5.6,5.4,4.5,3.2,3.1,-7.7,7.9,8.8,3.9,4.0,4.0,4.0,4.0,4.0
Sierra Leone,-0.6,1.9,1.8,-1.6,1.7,-6.7,0.1,2.4,2.1,5.0,1.6,-8.0,-9.6,0.1,3.5,-10.0,-24.8,-17.6,-0.8,-8.1,3.8,18.2,26.4,9.3,6.6,4.5,4.2,8.1,5.4,3.2,5.3,6.3,15.2,20.7,4.6,-20.5,6.4,3.8,3.5,5.3,-2.0,4.1,2.8,3.1,3.0,3.0,3.0,3.0,3.0
Singapore,10.1,10.8,7.1,8.6,8.8,-0.6,1.3,10.8,11.3,10.2,9.8,6.7,6.6,11.5,11.1,7.2,7.5,8.3,-2.2,5.7,9.0,-1.1,3.9,4.5,9.9,7.4,9.0,9.0,1.9,0.1,14.5,6.2,4.4,4.8,3.9,3.0,3.6,4.5,3.6,1.3,-3.9,8.9,3.6,1.5,2.0,2.0,2.0,2.0,2.0
Slovak Republic,7.14,5.62,5.94,6.59,7.55,7.0,7.87,7.83,7.77,8.0,5.9,1.77,1.39,1.48,6.2,7.9,6.9,4.4,4.1,-0.1,1.2,3.3,4.5,5.5,5.3,6.6,8.5,10.8,5.6,-5.5,6.7,2.7,1.3,0.6,2.7,5.2,1.9,2.9,4.0,2.5,-3.4,3.0,1.7,1.3,2.0,2.0,2.0,2.0,2.0
Slovenia,4.19,3.83,2.59,4.27,6.56,4.07,4.8,6.2,6.1,6.84,4.57,2.78,6.86,2.8,5.3,4.1,3.6,5.0,3.3,5.3,3.7,3.2,3.5,3.0,4.4,3.8,5.7,7.0,3.5,-7.5,1.3,0.9,-2.6,-1.0,2.8,2.2,3.2,4.8,4.5,3.5,-4.3,8.2,5.4,1.6,3.0,3.0,3.0,3.0,3.0
Solomon Islands,-2.7,-1.8,-1.7,3.9,0.2,-3.1,-0.2,8.4,1.3,4.3,2.2,6.0,12.7,4.0,8.1,10.1,1.6,-0.9,1.3,-0.5,-14.3,-8.0,-2.8,6.5,6.7,5.5,4.9,4.4,5.8,2.6,8.6,7.3,1.4,5.2,1.2,1.7,5.6,3.1,2.7,1.7,-3.4,-0.6,-4.1,2.5,2.0,2.0,2.0,2.0,2.0
Somalia,4.16,3.52,4.52,3.69,4.44,6.42,5.71,5.03,7.2,5.93,5.22,4.5,3.93,4.15,3.95,6.7,7.15,8.7,5.84,5.91,6.74,7.74,6.43,6.07,7.52,7.54,7.43,7.61,6.69,5.19,8.13,6.2,1.2,5.7,2.7,4.6,4.7,2.2,3.7,2.7,-0.3,2.9,1.7,2.8,5.0,5.0,5.0,5.0,5.0
South Africa,6.6,5.4,-0.4,-1.8,5.1,-1.2,0.0,2.1,4.2,2.4,-0.3,-1.0,-2.1,1.2,3.2,3.1,4.3,2.6,0.5,2.4,4.2,2.7,3.7,2.9,4.6,5.3,5.6,5.4,3.2,-1.5,3.0,3.2,2.4,2.5,1.4,1.3,0.7,1.2,1.5,0.3,-6.3,4.9,2.0,0.1,1.0,1.0,1.0,1.0,1.0
South America,5.7,-2.3,-0.4,-2.8,4.4,3.9,7.1,3.8,1.1,-0.1,-1.3,3.9,3.0,4.5,4.9,3.7,2.6,4.8,1.2,-1.3,3.2,0.9,0.3,2.1,7.3,5.1,5.7,6.8,5.0,-1.0,6.7,4.9,2.7,3.3,0.5,-1.1,-2.4,0.8,0.5,-0.1,-6.3,7.5,3.9,1.0,2.0,2.0,2.0,2.0,2.0
South Asia,5.2,6.0,4.2,6.7,4.1,5.7,4.9,4.1,8.3,5.5,5.3,2.4,5.5,4.3,6.2,6.9,7.3,4.0,5.4,7.4,4.2,4.3,3.8,7.2,7.5,8.9,8.5,8.9,4.2,7.1,9.0,6.3,5.4,6.0,6.9,7.3,7.6,6.6,6.4,3.9,-4.3,8.4,6.4,5.2,6.0,6.0,6.0,6.0,6.0
Southeast Asia,7.0,6.5,4.1,4.6,4.9,1.7,5.0,6.5,8.4,9.1,8.4,7.3,6.7,7.8,7.7,8.0,7.5,4.1,-7.5,3.3,5.8,3.3,5.1,5.8,6.5,5.7,6.0,6.6,5.2,2.4,7.4,5.0,6.1,5.1,4.8,4.9,5.1,5.4,5.3,4.7,-3.1,3.2,5.7,4.6,5.0,5.0,5.0,5.0,5.0
Spain,1.2,-0.4,1.2,1.7,1.7,2.4,3.4,5.7,5.3,5.0,3.8,2.5,0.9,-1.3,2.3,4.1,2.4,3.9,4.5,4.7,5.1,3.9,2.7,3.0,3.1,3.7,4.1,3.6,0.9,-3.8,0.2,-0.8,-3.0,-1.4,1.4,3.8,3.0,3.0,2.3,2.0,-11.3,5.5,5.5,1.5,2.0,2.0,2.0,2.0,2.0
Sri Lanka,5.8,5.3,5.2,3.3,6.7,5.0,4.3,1.5,2.7,2.3,6.2,10.8,-3.1,7.5,8.0,6.1,12.2,10.3,-1.6,2.9,8.4,-1.9,3.7,5.9,5.4,6.2,7.7,6.8,6.0,3.5,8.0,8.7,8.6,4.1,6.4,4.2,5.1,6.5,2.3,-0.2,-3.5,3.3,-8.7,-3.0,2.0,2.0,2.0,2.0,2.0
Sub-Saharan Africa,5.54,5.37,5.59,4.91,5.72,7.69,7.54,6.94,8.71,7.28,6.53,0.2,0.0,1.6,1.8,3.9,4.8,3.5,2.4,2.4,4.0,4.6,6.3,4.8,6.9,6.3,6.0,6.6,5.7,3.6,6.9,5.0,4.8,4.9,5.0,3.2,1.5,2.9,3.2,3.3,-1.7,4.8,3.9,3.6,4.0,4.0,4.0,4.0,4.0
Sub-Saharan Africa (Region) ,5.15,4.98,5.2,4.52,5.33,7.3,7.14,6.54,8.31,6.88,6.14,0.5,0.3,1.7,1.9,4.2,4.8,3.6,2.8,2.5,4.2,5.0,6.2,4.9,6.7,6.2,6.1,6.5,5.5,3.2,6.7,4.5,3.9,4.8,4.9,3.3,1.6,2.9,3.0,3.0,-1.7,4.6,3.6,3.5,4.0,4.0,4.0,4.0,4.0
Sudan,2.5,6.3,4.1,-1.5,-5.6,-0.6,9.9,6.5,4.3,1.4,0.8,7.0,5.5,2.8,3.5,8.9,5.5,6.1,8.2,4.2,8.4,10.9,5.9,6.3,5.1,5.6,6.5,5.7,3.8,-2.8,3.9,-3.2,-17.0,2.0,4.7,4.9,4.7,0.8,-2.3,-2.5,-3.6,0.5,-2.5,1.2,3.0,3.0,3.0,3.0,3.0
Suriname,-6.5,1.9,-6.3,-5.1,-3.0,-0.9,-2.4,-8.8,10.8,2.3,-1.5,-13.8,3.9,-2.2,-7.0,11.3,11.2,7.0,2.2,-0.9,-0.1,4.9,3.7,6.2,7.3,4.9,5.8,5.1,4.1,3.0,5.2,5.8,2.7,2.9,0.3,-3.4,-4.9,1.6,4.9,1.1,-15.9,-2.7,1.3,2.3,2.0,2.0,2.0,2.0,2.0
Sweden,4.6,4.5,1.4,2.1,4.3,2.3,3.0,3.3,2.5,2.7,0.8,-1.1,-0.9,-1.8,3.9,3.9,1.6,3.1,4.3,4.2,4.8,1.4,2.2,2.3,4.3,2.9,4.7,3.4,-0.5,-4.3,6.0,3.2,-0.6,1.2,2.7,4.5,2.1,2.6,2.0,2.0,-2.2,5.4,2.6,-0.5,2.0,2.0,2.0,2.0,2.0
Switzerland,5.1,1.6,-1.3,0.6,3.1,3.7,1.8,1.5,3.3,4.4,3.7,-0.9,-0.1,-0.1,1.3,0.6,0.5,2.2,2.9,1.6,4.1,1.6,-0.1,-0.1,2.6,2.8,4.2,3.9,2.7,-2.3,3.2,1.9,1.2,1.8,2.3,1.6,2.1,1.4,2.9,1.2,-2.5,4.2,2.1,0.8,2.0,2.0,2.0,2.0,2.0
Syria,10.5,8.5,2.6,1.6,-6.5,7.3,-4.8,1.3,12.7,-6.1,10.4,10.7,13.2,7.4,5.5,5.4,3.0,-1.1,5.6,-3.1,2.3,3.7,5.9,-2.0,6.9,6.2,5.0,5.7,4.5,5.9,3.4,-0.89,-0.68,-1.56,-2.76,-4.79,-1.61,-4.79,-3.69,-4.4,-10.23,0.74,2.55,-0.55,-0.0,-0.0,-0.0,-0.0,-0.0
São Tomé and Príncipe,-1.1,-10.3,3.1,-3.9,-6.0,9.3,-5.8,-2.9,2.0,3.1,-2.2,1.2,0.7,1.1,2.2,2.0,1.5,1.0,2.5,2.5,0.4,2.4,2.4,6.6,3.8,7.1,9.1,3.3,8.2,2.4,6.7,4.4,3.1,4.8,6.5,3.8,4.2,3.9,3.0,2.2,3.0,1.9,0.9,2.0,3.0,3.0,3.0,3.0,3.0
Taiwan Province of China,8.0,7.1,4.8,9.0,10.0,4.8,11.5,12.8,8.0,8.7,5.5,8.4,8.3,6.8,7.5,6.5,6.2,6.1,4.2,6.7,6.3,-1.4,5.5,4.2,7.0,5.4,5.8,6.9,0.8,-1.6,10.2,3.7,2.2,2.5,4.7,1.5,2.2,3.3,2.8,3.1,3.4,6.5,2.5,2.1,2.0,2.0,2.0,2.0,2.0
Tajikistan,6.48,6.48,8.31,8.61,7.31,6.01,7.91,7.11,9.61,7.31,2.01,-6.89,-15.64,-11.1,-21.4,-12.5,-4.4,1.7,5.3,3.7,8.3,10.2,9.1,10.2,10.6,6.7,7.0,7.8,7.9,3.9,6.5,7.4,7.5,7.4,6.7,6.0,6.9,7.1,7.6,7.4,4.4,9.4,8.0,5.0,5.0,5.0,5.0,5.0,5.0
Tanzania,3.3,0.5,0.6,2.4,3.4,4.6,6.6,5.9,4.4,3.8,7.0,2.1,0.6,1.2,1.6,3.6,4.5,3.5,3.7,4.8,4.9,6.0,7.2,6.9,7.8,7.4,4.7,8.5,5.6,5.4,6.4,7.9,5.1,6.8,6.7,6.2,6.9,6.8,7.0,7.0,4.8,4.9,4.7,5.2,6.0,6.0,6.0,6.0,6.0
Thailand,4.6,5.9,5.4,5.6,5.8,4.6,5.5,9.5,13.3,12.2,11.6,8.4,9.2,8.7,8.0,8.1,5.7,-2.8,-7.6,4.6,4.5,3.4,6.1,7.2,6.3,4.2,5.0,5.4,1.7,-0.7,7.5,0.8,7.2,2.7,1.0,3.1,3.4,4.2,4.2,2.1,-6.2,1.6,2.6,3.4,3.0,3.0,3.0,3.0,3.0
"Bahamas, The",7.1,-2.9,6.3,6.8,2.4,4.1,2.6,3.7,2.3,2.3,1.1,-4.2,-3.8,0.3,3.1,4.4,4.2,4.9,4.7,7.1,4.1,2.6,2.7,-1.3,0.9,3.4,2.5,1.4,-2.3,-4.2,1.5,0.6,3.1,-2.9,1.8,1.0,-0.9,3.1,1.8,1.9,-23.8,13.7,11.0,4.3,2.0,2.0,2.0,2.0,2.0
"Gambia, The",0.7,-9.5,20.8,13.5,-7.6,3.6,2.4,2.8,1.7,4.3,5.7,2.2,1.8,3.8,-3.4,3.3,2.9,1.4,6.5,6.4,5.5,5.8,-3.2,6.9,7.0,-2.4,-0.6,3.0,6.3,6.7,5.9,-8.1,5.2,2.9,-1.4,4.1,1.9,4.8,7.2,6.2,0.6,4.3,4.4,5.6,5.0,5.0,5.0,5.0,5.0
Timor-Leste,3.13,4.86,2.2,2.14,2.26,-1.04,-0.09,1.91,3.79,4.31,3.16,2.86,3.48,3.41,4.51,4.11,3.78,1.38,-4.94,2.25,3.87,16.3,-6.7,-2.2,0.4,3.0,-4.1,10.3,11.4,10.1,9.3,6.0,4.9,3.1,4.5,2.8,3.4,-3.1,-0.7,2.1,-8.3,2.9,3.3,2.2,3.0,3.0,3.0,3.0,3.0
Togo,-2.3,-3.4,-3.7,-5.2,5.9,3.7,3.3,-2.5,10.1,4.1,5.9,-0.6,-3.2,-16.3,13.9,19.7,-3.9,3.8,-2.3,2.5,-1.0,0.8,3.8,6.7,-1.0,-4.7,2.7,-1.2,4.1,5.5,6.1,6.4,6.5,6.1,5.9,5.7,5.6,4.3,5.0,5.5,1.8,5.3,5.4,5.5,6.0,6.0,6.0,6.0,6.0
Tonga,15.8,14.0,12.8,5.8,44.1,5.6,8.8,1.7,-3.5,1.1,4.7,5.9,-3.8,-0.1,2.0,7.9,0.1,-0.6,2.3,2.3,3.8,1.5,4.5,0.1,-1.9,-0.4,-2.2,-2.5,4.8,-5.2,0.8,6.8,0.8,0.3,2.0,1.2,6.6,3.3,0.2,0.7,0.5,-2.7,-2.0,2.5,2.0,2.0,2.0,2.0,2.0
Trinidad and Tobago,10.4,4.6,3.8,-10.3,-5.8,-4.1,-3.3,-4.6,-3.9,-0.8,1.5,3.1,10.1,-0.7,3.6,3.8,7.1,7.5,8.1,8.0,6.9,3.7,7.2,13.9,7.3,5.9,14.2,4.3,3.3,-4.8,3.5,-0.2,4.5,3.8,3.3,-0.8,-6.8,-4.7,-0.9,0.1,-7.7,-1.0,2.5,3.2,2.0,2.0,2.0,2.0,2.0
Tunisia,7.4,5.5,-0.5,4.7,5.7,5.7,-1.5,6.7,0.1,2.6,7.1,4.1,8.0,2.5,3.6,2.7,6.9,5.7,5.0,6.0,4.3,3.8,1.3,4.7,6.2,3.5,5.2,6.7,4.2,3.0,3.5,-2.0,4.2,2.4,3.1,1.0,1.1,2.2,2.6,1.6,-8.8,4.4,2.5,1.3,2.0,2.0,2.0,2.0,2.0
Turkmenistan,8.27,8.27,10.1,10.4,9.1,7.8,9.7,8.9,11.4,9.1,3.8,-5.1,-13.85,-10.0,-17.3,-7.2,-6.7,-11.3,6.7,16.5,18.6,20.4,15.8,17.1,14.7,13.0,11.0,11.1,14.7,6.1,16.2,12.9,6.1,-0.3,3.8,3.0,-1.0,4.7,0.9,-3.4,-2.9,4.6,1.8,2.3,2.0,2.0,2.0,2.0,2.0
Tuvalu,4.15,5.68,3.95,3.23,12.6,1.5,5.33,2.23,3.63,4.42,5.03,5.37,7.15,5.28,7.8,4.72,3.61,0.36,4.16,3.11,2.15,0.7,8.3,-4.4,-1.9,-3.7,1.3,6.9,6.6,-5.6,-2.5,7.5,-2.9,3.8,1.7,9.4,4.7,3.3,1.4,13.8,-4.3,1.8,0.7,4.3,3.0,3.0,3.0,3.0,3.0
Uganda,-3.4,3.9,8.2,4.9,-3.0,-3.0,0.9,4.0,8.3,6.4,6.5,1.8,5.9,6.7,7.7,9.2,6.6,4.6,6.1,8.0,3.9,8.8,7.1,6.2,5.8,10.0,7.0,8.1,10.4,8.1,7.5,7.7,2.3,3.9,5.7,8.0,0.2,6.8,5.5,7.8,-1.3,6.0,4.9,5.7,6.0,6.0,6.0,6.0,6.0
Ukraine,-0.13,-0.13,1.7,2.0,0.7,-0.6,1.3,0.5,3.0,0.7,-4.6,-13.5,-9.9,-14.2,-22.9,-12.2,-10.0,-3.0,-1.9,-0.2,5.9,8.8,5.3,9.5,11.8,3.1,7.6,8.2,2.2,-15.1,4.1,5.5,0.2,0.0,-6.6,-9.8,2.4,2.4,3.5,3.2,-3.8,3.4,-30.3,-3.0,-1.0,-1.0,-1.0,-1.0,-1.0
United Arab Emirates,-1.8,8.0,-7.2,-5.2,4.5,-2.5,-19.3,5.3,-2.6,15.7,23.6,2.1,3.1,0.0,7.4,6.6,5.3,8.6,0.8,3.8,12.3,1.3,2.5,8.8,9.6,4.9,9.8,3.2,3.2,-5.2,1.6,6.9,4.8,5.1,4.2,6.8,5.6,0.7,1.3,1.1,-5.0,3.9,7.4,3.5,4.0,4.0,4.0,4.0,4.0
United Kingdom,-2.2,-0.9,1.7,3.9,1.9,3.7,2.6,5.2,5.2,2.2,0.6,-1.7,0.0,2.1,3.5,2.1,1.9,4.5,3.2,3.0,4.1,2.2,1.8,3.1,2.3,2.7,2.2,2.6,-0.2,-4.5,2.4,1.1,1.4,1.8,3.2,2.4,2.2,2.4,1.7,1.6,-11.0,7.6,4.0,-0.3,1.0,1.0,1.0,1.0,1.0
United States,-0.3,2.5,-1.8,4.6,7.2,4.2,3.5,3.5,4.2,3.7,1.9,-0.1,3.5,2.8,4.0,2.7,3.8,4.4,4.5,4.8,4.1,1.0,1.7,2.8,3.9,3.5,2.8,2.0,0.1,-2.6,2.7,1.5,2.3,1.8,2.3,2.7,1.7,2.2,2.9,2.3,-2.8,5.9,2.1,1.6,2.0,2.0,2.0,2.0,2.0
Uruguay,6.0,1.9,-9.4,-5.9,-1.5,0.3,7.5,5.9,0.5,1.1,0.3,3.5,7.9,2.7,7.3,-1.4,5.6,5.0,4.5,-1.9,-1.9,-3.8,-7.7,0.8,5.0,7.5,4.1,6.5,7.2,4.2,7.8,5.2,3.5,4.6,3.2,0.4,1.7,1.6,0.5,0.4,-6.1,4.4,4.9,2.0,3.0,3.0,3.0,3.0,3.0
Uzbekistan,5.74,5.74,7.57,7.87,6.57,5.27,7.17,6.37,8.87,6.57,1.27,-7.63,-11.1,-2.3,-5.2,-0.9,1.7,5.2,4.3,4.3,3.8,4.2,4.0,4.2,7.4,7.0,7.5,9.5,9.0,8.1,7.1,7.5,7.1,7.3,6.9,7.2,5.9,4.4,5.9,6.0,2.0,7.4,5.7,5.3,6.0,6.0,6.0,6.0,6.0
Vanuatu,5.5,4.4,2.0,3.0,9.6,1.0,-0.1,-2.9,-1.7,1.5,11.7,3.1,2.6,0.7,9.1,1.0,2.3,4.9,1.2,0.3,5.9,-3.4,-5.2,4.3,4.0,5.3,8.5,2.9,5.6,3.0,1.3,3.1,1.0,0.5,3.1,0.4,4.7,6.3,2.9,3.2,-5.0,0.6,1.9,3.5,3.0,3.0,3.0,3.0,3.0
Venezuela,-4.9,-1.3,2.6,-9.9,5.2,0.9,6.1,4.8,6.5,-13.9,6.5,9.7,6.1,0.3,-2.3,4.0,-0.2,6.4,0.3,-6.0,3.7,3.4,-8.9,-7.8,18.3,10.3,9.9,8.8,5.3,-3.2,-1.5,4.2,5.6,1.3,-3.9,-6.2,-17.0,-15.7,-19.7,-27.7,-30.0,0.5,8.0,5.0,3.0,3.0,3.0,3.0,3.0
Vietnam,-3.5,5.8,8.2,7.1,8.4,5.6,3.4,2.5,5.1,7.8,5.0,5.8,8.7,8.1,8.8,9.5,9.3,8.2,5.8,4.8,6.8,6.9,7.1,7.3,7.8,7.5,7.0,7.1,5.7,5.4,6.4,6.4,5.5,5.6,6.4,7.0,6.7,6.9,7.5,7.4,2.9,2.6,8.0,5.8,6.0,6.0,6.0,6.0,6.0
West Bank and Gaza,5.91,8.53,2.94,9.53,12.86,7.7,5.86,8.57,5.92,5.7,8.12,9.94,19.9,10.22,10.52,7.1,1.2,14.7,14.3,8.3,-8.6,-9.3,-12.5,14.0,21.9,11.3,-1.0,3.8,7.4,8.6,5.8,9.6,6.1,4.7,-0.2,3.7,8.9,1.4,1.2,1.4,-11.3,7.0,4.0,3.5,2.0,2.0,2.0,2.0,2.0
Western Europe,1.6,0.3,0.7,1.7,2.5,2.6,2.6,3.0,4.2,3.7,3.2,1.9,1.2,-0.2,2.7,2.5,1.7,3.0,3.1,3.0,3.9,2.1,1.1,1.1,2.3,1.9,3.1,2.8,0.3,-4.3,2.2,1.6,-0.4,0.2,1.7,2.2,1.9,2.6,1.8,1.6,-6.6,5.7,3.6,0.6,2.0,2.0,2.0,2.0,2.0
Western Hemisphere (Region),2.2,2.0,-1.4,2.1,6.1,3.9,3.7,3.5,3.3,2.8,1.4,1.0,3.3,3.1,4.3,2.3,3.6,4.7,3.9,3.5,4.0,1.0,1.4,2.5,4.5,3.7,3.5,3.1,1.4,-2.4,3.8,2.6,2.5,2.2,2.0,1.8,0.9,2.0,2.4,1.6,-4.1,6.2,2.7,1.6,2.0,2.0,2.0,2.0,2.0
World,2.1,1.9,0.7,2.6,4.6,3.6,3.6,3.9,4.7,3.8,3.4,2.7,2.3,2.0,3.2,3.3,3.9,4.0,2.6,3.5,4.8,2.5,2.9,4.3,5.4,4.9,5.4,5.6,3.1,-0.1,5.4,4.3,3.5,3.4,3.5,3.4,3.3,3.8,3.6,2.8,-2.8,6.3,3.4,2.8,3.0,3.0,3.0,3.0,3.0
Yemen,4.12,6.74,1.15,7.74,11.08,5.92,4.08,6.79,4.13,3.92,6.33,6.3,8.2,4.0,6.7,5.7,4.6,5.2,6.0,3.8,6.2,3.8,3.9,3.7,4.0,5.6,3.2,3.3,3.6,3.9,7.7,-12.7,2.4,4.8,-0.2,-28.0,-9.4,-5.1,0.8,1.4,-8.5,-1.0,1.5,-0.5,2.0,2.0,2.0,2.0,2.0
Zambia,3.9,6.6,-2.9,-1.1,-1.7,1.2,1.7,1.5,9.3,-3.7,-0.6,-0.7,2.1,-0.1,-13.3,2.9,6.2,3.8,-0.4,4.7,3.9,5.3,4.5,6.9,7.0,7.2,7.9,8.4,7.8,9.2,10.3,5.6,7.6,5.1,4.7,2.9,3.8,3.5,4.0,1.4,-2.8,4.6,3.4,4.0,4.0,4.0,4.0,4.0,4.0
Zimbabwe,2.41,1.77,2.77,1.94,2.69,4.67,3.96,3.28,5.45,4.18,3.46,2.75,2.18,2.4,2.2,4.95,5.39,6.94,4.09,-1.1,-4.2,-0.5,-7.7,-16.2,-6.3,-7.4,-3.6,-3.4,-16.3,7.4,19.7,14.2,16.7,2.0,2.4,1.8,0.5,5.0,4.7,-6.1,-7.8,8.5,3.0,2.5,3.0,3.0,3.0,3.0,3.0
Central Asia and the Caucasus,11.34,11.34,13.17,13.47,12.17,10.87,12.77,11.97,14.47,12.17,6.87,-3.86,-13.84,2.1,-7.4,3.6,5.5,6.5,2.8,-1.0,7.2,-0.9,7.1,6.9,9.5,9.8,9.0,7.6,3.0,-1.0,8.0,9.4,5.1,7.4,4.8,4.9,2.8,6.3,3.3,1.9,0.6,9.6,5.3,3.1,3.0,3.0,3.0,3.0,3.0
